"    hour 
date",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6/20/2022,2,0,0,0,0,0,1,5,4,6,4,4,6,6,4,4,10,9,5,8,8,6,6,3
6/21/2022,2,0,0,1,0,0,0,7,2,2,7,8,3,4,6,5,4,5,8,4,4,9,6,2
6/22/2022,3,0,0,0,0,0,3,6,3,6,2,5,8,8,5,6,8,5,7,9,11,8,10,4
6/23/2022,2,0,0,0,0,0,1,5,9,4,4,5,9,6,14,14,13,7,5,6,8,8,8,2
6/24/2022,0,0,0,0,0,0,0,0,1,3,8,8,7,2,5,9,8,6,5,3,3,5,6,6
6/25/2022,3,0,0,0,0,1,0,0,4,6,5,3,5,9,9,6,13,7,6,9,3,8,6,3
6/26/2022,1,1,0,0,0,1,1,4,0,5,2,3,1,1,8,3,8,6,11,8,8,9,8,1
6/27/2022,1,0,0,0,0,0,1,3,1,2,1,6,2,10,7,3,11,9,4,6,9,8,4,4
6/28/2022,0,0,0,0,0,0,0,0,2,1,5,4,10,5,7,6,4,5,5,7,4,8,8,4
6/29/2022,1,1,0,0,0,0,0,3,4,2,1,4,4,7,5,2,8,7,8,8,7,8,6,2
6/30/2022,0,0,1,0,0,0,0,5,2,1,7,5,5,4,7,2,6,4,4,6,10,9,3,4
7/1/2022,5,2,0,0,0,0,0,0,1,4,9,2,5,1,6,9,8,4,5,2,5,3,0,1
7/2/2022,1,2,2,0,0,0,0,0,0,3,0,2,4,2,6,4,10,5,7,4,4,3,6,3
7/3/2022,3,0,0,1,0,0,0,1,1,3,5,12,8,7,6,3,7,4,2,7,8,9,7,1
