"    hour 
date",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6/20/2022,0,1,0,0,0,0,0,0,5,3,2,9,4,5,5,5,5,7,6,7,8,5,8,6
6/21/2022,2,0,0,0,0,0,0,1,3,4,3,5,5,2,4,5,11,5,5,2,3,4,7,4
6/22/2022,2,2,0,1,0,0,0,1,5,4,3,4,6,5,5,7,5,7,7,7,9,10,10,3
6/23/2022,1,0,0,0,0,0,1,3,6,2,1,4,5,10,6,4,9,9,5,4,5,8,5,5
6/24/2022,1,0,0,1,0,0,0,1,2,3,6,7,5,7,7,5,3,7,6,4,7,3,3,4
6/25/2022,3,0,0,0,0,0,1,0,2,2,9,5,4,2,4,7,6,10,5,4,4,7,9,0
6/26/2022,0,0,0,0,0,0,0,3,2,4,8,1,2,2,3,4,2,4,3,8,6,7,6,1
6/27/2022,1,0,0,0,0,0,0,2,6,6,4,2,2,4,4,6,1,0,3,6,10,4,1,3
6/28/2022,3,0,0,0,0,0,0,0,2,2,3,2,4,2,2,4,2,2,6,6,6,7,5,4
6/29/2022,0,0,0,0,0,0,0,0,6,2,3,3,2,2,3,6,4,10,7,3,8,5,4,4
6/30/2022,1,0,0,0,0,0,2,2,5,4,3,7,4,3,5,10,5,2,4,8,7,7,4,4
7/1/2022,2,1,1,0,0,0,0,0,3,3,4,4,4,8,8,7,1,7,7,2,2,1,4,2
7/2/2022,0,0,0,0,0,0,1,1,1,4,2,8,4,3,6,7,5,8,5,5,2,4,1,1
7/3/2022,0,1,0,0,0,0,0,1,3,3,4,3,1,1,5,2,7,4,3,8,3,8,7,2
